make,model,location,price,body_type,type,doors,mileage,first_registration,gearbox,fuel_type,colour,seller,seats,engine_size,gears,drivetrain,cylinders,comfort_convenience,entertainment_media,safety_security,extras,empty_weight,emission_class,upholstery,power_kw,power_hp,consumption_comb
Mercedes-Benz,Old,ES,16950.0,Compact,Used,5.0,120200.0,7,Manual,Diesel,Dark,Dealer,5.0,1598.0,5.0,Front,4.0,16,9,18,5,1270.0,Euro 6,Part leather,73.14285714285714,99.5,5.570512820512819
Mercedes-Benz,New,ES,69900.0,Compact,Used,5.0,18900.0,3,Automatic,Benzine,Dark,Dealer,5.0,1991.0,8.0,4WD,4.0,25,10,32,1,1535.0,Euro 6,Full leather,310.0,421.0,8.4
Mercedes-Benz,New,ES,46990.0,Compact,Used,5.0,18995.0,3,Automatic,Benzine,Light,Dealer,5.0,1991.0,7.0,4WD,4.0,4,1,5,1,1555.0,Euro 6,Full leather,225.0,306.0,7.3
Mercedes-Benz,Old,ES,16800.0,Compact,Used,5.0,197000.0,8,Automatic,Diesel,Light,Dealer,5.0,2143.0,7.0,4WD,4.0,5,4,6,1,1545.0,Euro 6,Part leather,100.0,136.0,4.9
Mercedes-Benz,Old,DE,4690.0,Compact,Used,3.0,165000.0,18,Manual,Benzine,Dark,Dealer,4.0,1799.0,6.0,Rear,4.0,14,3,14,7,1465.0,Euro 4,Cloth,90.0,122.0,8.2
Mercedes-Benz,New,ES,22550.0,Compact,Used,5.0,83339.0,5,Manual,Diesel,Dark,Dealer,5.0,1969.0,6.0,Front,4.0,22,9,21,7,1430.0,Euro 6,Part leather,92.27272727272727,125.27272727272727,5.279591836734696
Mercedes-Benz,New,ES,26900.0,Compact,Used,5.0,48900.0,4,Automatic,Benzine,Dark,Dealer,5.0,1991.0,7.0,Front,4.0,4,1,6,1,1450.0,Euro 6,Part leather,140.0,190.0,6.1
Mercedes-Benz,New,BE,44999.0,Compact,Used,5.0,56876.0,4,Automatic,Benzine,Dark,Dealer,5.0,1991.0,7.0,4WD,4.0,6,1,1,1,1455.0,Euro 6,Full leather,225.0,306.0,0.0
Mercedes-Benz,Old,BE,14200.0,Compact,Used,5.0,99016.0,8,Manual,Diesel,Dark,Dealer,5.0,1461.0,5.0,Front,4.0,9,5,14,2,1295.0,Euro 6,Cloth,66.0,90.0,3.8
Mercedes-Benz,Old,ES,37999.0,Compact,Used,5.0,90000.0,7,Automatic,Benzine,Dark,Dealer,5.0,1991.0,7.0,4WD,4.0,4,8,4,2,1555.0,Euro 6,Part leather,280.0,381.0,6.9
Mercedes-Benz,Old,ES,23999.0,Compact,Used,5.0,25914.0,10,Automatic,Benzine,Dark,Dealer,5.0,1991.0,7.0,Front,4.0,5,4,8,3,1445.0,Euro 6,Full leather,155.0,211.0,6.0
